::ffff:47.30.134.223 - - [28/Feb/2020:14:43:30 +0000] "GET /web_assets/assets/img/svg/tick.svg HTTP/1.1" 200 329 "http://13.58.125.166:3000/web_assets/assets/css/custom.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:42 +0000] "GET /insurance/workers-compensation-insurance.html HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:42 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:42 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:43 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:43 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:43 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:44 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:44 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:44 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:44 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:45 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:45 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:45 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:43:46 +0000] "GET /insurance/home HTTP/1.1" 302 52 "http://13.58.125.166:3000/insurance/3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
