::ffff:127.0.0.1 - - [06/Aug/2020:08:38:11 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:08:38:19 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:08:42:36 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
::ffff:127.0.0.1 - - [06/Aug/2020:08:47:19 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; SemrushBot-BA; +http://www.semrush.com/bot.html)"
::ffff:127.0.0.1 - - [06/Aug/2020:09:50:11 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:09:50:11 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:09:50:11 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:09:50:12 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:09:50:12 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:09:50:12 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:09:50:12 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:09:50:12 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:09:50:12 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:09:50:12 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:10:08:23 +0000] "POST /api/jsonws/invoke HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:10:14:25 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:10:14:25 +0000] "POST / HTTP/1.1" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:10:39:53 +0000] "GET /referal HTTP/1.1" 200 38043 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [06/Aug/2020:11:04:24 +0000] "GET /web_assets/assets/img/green-img/icon-green-12.png HTTP/1.1" 200 8505 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [06/Aug/2020:11:26:47 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [06/Aug/2020:11:26:47 +0000] "GET /inner-auto-insurance.html HTTP/1.1" 404 164 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:89.248.174.166 - - [06/Aug/2020:12:15:03 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 zgrab/0.x"
