::ffff:127.0.0.1 - - [08/Sep/2020:09:21:58 +0000] "GET /web_assets/assets/fonts/fonts.css HTTP/1.1" 200 1444 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:58 +0000] "GET /web_assets/assets/css/material-form.css HTTP/1.1" 200 2264 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:58 +0000] "GET /web_assets/assets/css/responsive.css HTTP/1.1" 200 7186 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:58 +0000] "GET /web_assets/assets/css/custom-2.css HTTP/1.1" 200 43190 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:58 +0000] "GET /web_assets/assets/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:59 +0000] "GET /web_assets/assets/js/slick.min.js HTTP/1.1" 200 42863 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:59 +0000] "GET /web_assets/assets/js/bootstrap.min.js HTTP/1.1" 200 48944 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:59 +0000] "GET /web_assets/assets/js/custom.js HTTP/1.1" 200 5717 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:59 +0000] "GET /web_assets/assets/js/material-form.js HTTP/1.1" 200 631 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:01 +0000] "GET /web_assets/assets/js/validation.js HTTP/1.1" 200 89138 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:01 +0000] "GET /web_assets/assets/img/logo.png HTTP/1.1" 200 2299 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:02 +0000] "GET /web_assets/assets/img/green-img/icon-green-10.png HTTP/1.1" 200 13020 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:02 +0000] "GET /web_assets/assets/img/green-img/icon-green-6.png HTTP/1.1" 200 14323 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:03 +0000] "GET /web_assets/assets/img/green-img/icon-green-8.png HTTP/1.1" 200 22164 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:03 +0000] "GET /web_assets/assets/img/green-img/icon-green-12.png HTTP/1.1" 200 8505 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:06 +0000] "GET /web_assets/assets/img/green-img/icon-green-13.png HTTP/1.1" 200 3506 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:06 +0000] "GET /web_assets/assets/img/green-img/scooter.png HTTP/1.1" 200 27754 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:07 +0000] "GET /web_assets/assets/img/green-img/icon-green-7.png HTTP/1.1" 200 12230 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:07 +0000] "GET /web_assets/assets/img/green-img/icon-green-11.png HTTP/1.1" 200 6976 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:22:08 +0000] "GET /web_assets/assets/img/green-img/icon-green-2.png HTTP/1.1" 200 15943 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
