::ffff:127.0.0.1 - - [22/May/2020:02:47:02 +0000] "GET /web_assets/assets/img/green-img/icon-green-12-before.png HTTP/1.1" 200 8643 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:02 +0000] "GET /web_assets/assets/img/green-img/icon-green-13.png HTTP/1.1" 200 3506 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:02 +0000] "GET /web_assets/assets/img/green-img/icon-green-13-before.png HTTP/1.1" 200 3589 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:02 +0000] "GET /web_assets/assets/img/green-img/scooter.png HTTP/1.1" 200 27754 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:02 +0000] "GET /web_assets/assets/img/green-img/scooter-before.png HTTP/1.1" 200 22667 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:02 +0000] "GET /web_assets/assets/img/green-img/icon-green-7.png HTTP/1.1" 200 12230 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:03 +0000] "GET /web_assets/assets/img/green-img/icon-green-7-before.png HTTP/1.1" 200 11946 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:03 +0000] "GET /web_assets/assets/img/green-img/icon-green-11.png HTTP/1.1" 200 6976 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:03 +0000] "GET /web_assets/assets/img/green-img/icon-green-11-before.png HTTP/1.1" 200 7342 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:03 +0000] "GET /web_assets/assets/img/green-img/icon-green-2.png HTTP/1.1" 200 15943 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:03 +0000] "GET /web_assets/assets/img/green-img/icon-green-1.png HTTP/1.1" 200 20916 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:03 +0000] "GET /web_assets/assets/img/green-img/icon-green-5.png HTTP/1.1" 200 16143 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:03 +0000] "GET /web_assets/assets/img/green-img/icon-green-4.png HTTP/1.1" 200 17984 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:03 +0000] "GET /web_assets/assets/img/no_data.png HTTP/1.1" 200 6216 "http://swiftbullhead.com/" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:04 +0000] "GET /web_assets/assets/css/fonts/slick.woff HTTP/1.1" 404 177 "http://swiftbullhead.com/web_assets/assets/css/slick-theme.css" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:04 +0000] "GET /web_assets/assets/css/fonts/slick.ttf HTTP/1.1" 404 176 "http://swiftbullhead.com/web_assets/assets/css/slick-theme.css" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:47:05 +0000] "GET /web_assets/assets/css/ajax-loader.gif HTTP/1.1" 404 176 "http://swiftbullhead.com/web_assets/assets/css/slick-theme.css" "Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:02:50:05 +0000] "GET /hcucigmsr.html HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [22/May/2020:02:58:34 +0000] "GET /web_assets/assets/img/carrier-logo/carrier-logo46.png HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
::ffff:127.0.0.1 - - [22/May/2020:02:58:34 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:209.17.96.210 - - [22/May/2020:03:29:11 +0000] "GET / HTTP/1.1" 200 92336 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:127.0.0.1 - - [22/May/2020:03:35:21 +0000] "GET /TP/public/index.php HTTP/1.1" 404 158 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [22/May/2020:03:35:22 +0000] "GET /TP/index.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [22/May/2020:03:35:25 +0000] "GET /thinkphp/html/public/index.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
