::ffff:127.0.0.1 - - [11/Jan/2021:12:35:15 +0000] "GET /get_travel_nsurance HTTP/1.1" 200 54446 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:36:51 +0000] "GET /resource/4 HTTP/1.1" 200 33822 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:40:42 +0000] "GET /resource/2 HTTP/1.1" 200 29905 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:43:50 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:43:50 +0000] "GET /resource/1 HTTP/1.1" 200 34180 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:43:55 +0000] "GET /resource/4 HTTP/1.1" 200 33822 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:43:58 +0000] "GET /get_home_nsurance HTTP/1.1" 200 53709 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:44:00 +0000] "GET /contact HTTP/1.1" 200 39627 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:46:59 +0000] "GET /get_auto_nsurance HTTP/1.1" 200 57029 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:49:06 +0000] "GET /get_renter_nsurance HTTP/1.1" 200 46698 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:49:13 +0000] "GET /resource/2 HTTP/1.1" 200 29905 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:49:22 +0000] "GET /get_auto_nsurance HTTP/1.1" 200 57029 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:50:10 +0000] "GET /resource/5 HTTP/1.1" 200 34000 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:51:05 +0000] "HEAD /robots.txt HTTP/1.1" 404 150 "-" "-"
::ffff:127.0.0.1 - - [11/Jan/2021:12:52:54 +0000] "GET /get_worker_comp_nsurance HTTP/1.1" 200 52473 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:53:46 +0000] "GET /get_life_nsurance HTTP/1.1" 200 55130 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:54:44 +0000] "GET /videos HTTP/1.1" 200 36504 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:57:25 +0000] "GET /about-defy HTTP/1.1" 200 41444 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:12:58:37 +0000] "GET /get_life_nsurance HTTP/1.1" 200 55130 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:13:00:50 +0000] "GET /get_renter_nsurance HTTP/1.1" 200 46698 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [11/Jan/2021:13:02:02 +0000] "GET /resource/3 HTTP/1.1" 200 31004 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
