::ffff:223.225.35.68 - - [25/Apr/2020:10:32:40 +0000] "GET /web_assets/assets/css/ajax-loader.gif HTTP/1.1" 404 176 "http://3.22.177.86:3000/web_assets/assets/css/slick-theme.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:10:32:40 +0000] "GET /web_assets/assets/css/fonts/slick.ttf HTTP/1.1" 404 176 "http://3.22.177.86:3000/web_assets/assets/css/slick-theme.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:10:36:16 +0000] "GET /insurance_more_product HTTP/1.1" 200 66787 "http://3.22.177.86:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:10:36:17 +0000] "GET /web_assets/assets/css/bootstrap.min.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:10:36:17 +0000] "GET /web_assets/assets/css/slick.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:10:36:17 +0000] "GET /web_assets/assets/fonts/fonts.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:10:36:17 +0000] "GET /web_assets/assets/css/slick-theme.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:10:36:17 +0000] "GET /web_assets/assets/css/material-form.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:10:36:17 +0000] "GET /web_assets/assets/css/custom-2.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:10:36:17 +0000] "GET /web_assets/assets/css/responsive.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
