::ffff:127.0.0.1 - - [13/Aug/2020:08:48:18 +0000] "GET /web_assets/assets/js/bootstrap.min.js HTTP/1.1" 200 48944 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [13/Aug/2020:08:48:18 +0000] "GET /web_assets/assets/js/slick.min.js HTTP/1.1" 200 42863 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [13/Aug/2020:08:48:18 +0000] "GET /web_assets/assets/js/custom.js HTTP/1.1" 200 5717 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [13/Aug/2020:08:48:18 +0000] "GET /web_assets/assets/js/material-form.js HTTP/1.1" 200 631 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [13/Aug/2020:08:48:18 +0000] "GET /web_assets/assets/js/validation.js HTTP/1.1" 200 89138 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [13/Aug/2020:08:55:09 +0000] "GET /resource/1 HTTP/1.1" 200 34152 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [13/Aug/2020:09:22:40 +0000] "GET / HTTP/1.1" 200 60386 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:09:22:40 +0000] "GET / HTTP/1.1" 200 60386 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:09:22:41 +0000] "GET / HTTP/1.1" 200 60386 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:09:22:41 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:09:22:41 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:09:22:41 +0000] "GET / HTTP/1.1" 200 60386 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:09:22:41 +0000] "GET / HTTP/1.1" 200 60386 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:09:22:41 +0000] "GET / HTTP/1.1" 200 60386 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:09:22:41 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
