::ffff:106.210.101.93 - - [11/Apr/2020:15:07:32 +0000] "GET /web_assets/assets/css/material-form.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
::ffff:106.210.101.93 - - [11/Apr/2020:15:07:32 +0000] "GET /web_assets/assets/fonts/fonts.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
::ffff:106.210.101.93 - - [11/Apr/2020:15:07:32 +0000] "GET /web_assets/assets/css/custom.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
::ffff:106.210.101.93 - - [11/Apr/2020:15:07:32 +0000] "GET /web_assets/assets/js/jquery-1.9.1.min.js HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
::ffff:106.210.101.93 - - [11/Apr/2020:15:07:32 +0000] "GET /web_assets/assets/css/responsive.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
::ffff:106.210.101.93 - - [11/Apr/2020:15:07:33 +0000] "GET /web_assets/assets/js/slick.min.js HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
::ffff:106.210.101.93 - - [11/Apr/2020:15:07:33 +0000] "GET /web_assets/assets/js/custom.js HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
::ffff:106.210.101.93 - - [11/Apr/2020:15:07:33 +0000] "GET /web_assets/assets/js/material-form.js HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
::ffff:106.210.101.93 - - [11/Apr/2020:15:07:33 +0000] "GET /web_assets/assets/js/bootstrap.min.js HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
::ffff:106.210.101.93 - - [11/Apr/2020:15:07:33 +0000] "GET /web_assets/assets/js/validation.js HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
::ffff:106.210.101.93 - - [11/Apr/2020:15:07:33 +0000] "GET /web_assets/assets/icons/web/ic_auto_insurance.png HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36"
