::ffff:127.0.0.1 - - [17/Jun/2020:08:36:35 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:08:37:45 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:09:36:23 +0000] "GET / HTTP/1.1" 200 58097 "-" "-"
::ffff:127.0.0.1 - - [17/Jun/2020:10:06:56 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:127.0.0.1 - - [17/Jun/2020:10:40:33 +0000] "GET /manager/html HTTP/1.1" 404 151 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)"
::ffff:127.0.0.1 - - [17/Jun/2020:10:59:51 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 404 163 "http://3.22.177.86:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0"
::ffff:127.0.0.1 - - [17/Jun/2020:11:14:57 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [17/Jun/2020:11:54:35 +0000] "GET /solr/admin/info/system?wt=json HTTP/1.1" 404 161 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:11:55:34 +0000] "GET /?a=fetch&content=<php>die(@md5(HelloThinkCMF))</php> HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:11:55:48 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:11:58:29 +0000] "GET /index.php?s=/Index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:12:30:12 +0000] "POST /api/jsonws/invoke HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:12:35:19 +0000] "GET /TP/public/index.php HTTP/1.1" 404 158 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [17/Jun/2020:12:35:19 +0000] "GET /TP/index.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [17/Jun/2020:12:35:20 +0000] "GET /thinkphp/html/public/index.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [17/Jun/2020:12:35:20 +0000] "GET /html/public/index.php HTTP/1.1" 404 160 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [17/Jun/2020:12:35:20 +0000] "GET /public/index.php HTTP/1.1" 404 155 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [17/Jun/2020:12:35:21 +0000] "GET /TP/html/public/index.php HTTP/1.1" 404 163 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [17/Jun/2020:12:35:21 +0000] "GET /elrekt.php HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [17/Jun/2020:12:35:21 +0000] "GET /index.php HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [17/Jun/2020:12:35:22 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:92.118.160.33 - - [17/Jun/2020:12:35:46 +0000] "GET / HTTP/1.1" 200 58097 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:127.0.0.1 - - [17/Jun/2020:12:38:50 +0000] "GET / HTTP/1.1" 200 58097 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [17/Jun/2020:12:38:50 +0000] "GET / HTTP/1.1" 200 58097 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [17/Jun/2020:12:38:51 +0000] "GET / HTTP/1.1" 200 58097 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [17/Jun/2020:12:38:51 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [17/Jun/2020:12:38:51 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [17/Jun/2020:12:38:51 +0000] "GET / HTTP/1.1" 200 58097 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [17/Jun/2020:12:38:51 +0000] "GET / HTTP/1.1" 200 58097 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [17/Jun/2020:12:38:51 +0000] "GET / HTTP/1.1" 200 58097 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [17/Jun/2020:12:38:51 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [17/Jun/2020:12:38:51 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [17/Jun/2020:12:47:44 +0000] "GET / HTTP/1.1" 200 58097 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:13:36:41 +0000] "GET /hudson HTTP/1.1" 404 145 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [17/Jun/2020:13:47:43 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 404 189 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [17/Jun/2020:13:55:37 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://swiftbullhead.com/designs/Carebridge-Website//Html/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
